$KEY used	id	symbol	name	overwrite	against	good	bad	decrement	without_player	without_monster	without_obj	icon	animation_stop	has_image	inherite	message_on	message_off	hit_effect	desc	spec	program_memo	without_boss	
$TYPE bool	int	string	string	json[]	json[]	bool	bool	bool	bool	bool	bool	string	bool	bool	bool	string	string	string	string	string	none	bool	
# 反映されるべきデータの場合〇を入れる	IDはmaster.protoのものと一致させること			上書きする状態異常	相殺する状態異常	良い状態異常か	悪い状態異常か	自動減算	主人公無効化	モンスター無効化	岩無効化	デバッグ用？	アニメーションをストップさせるか	画像があるか	進化/退化の引き継ぎ	発症時のログ	解除時のログ(主人公のみ)	当たったときのエフェクト	説明文	仕様書用テキスト	プログラマの実装メモ	ボス無効化	
〇	1	snooze	仮眠				○		○		○	仮	○	○						### 主人公・オブジェ\n- この状態異常にかかる事は無い\n- もし、何らかの原因でこの状態異常にかかる事があった場合は無効化される(想定外の状態異常を参照)\n\n### モンスター\n- モンスターは特殊な設定がされていない限り、初期生成時の50%、リスポン時の25で睡眠状態で生成される\n- モンスターハウスに生成されたキャラは100%仮眠状態で生成される\n- ボス部屋に生成されたキャラには別の状態異常が付与される予定\n- モンスターハウスの起動によって100%解除される\n- 標的が同じ部屋に「侵入」して来ると即座に50%で解除され、次の自身のターンでは行動を行わない\n- 標的が複数存在する場合は全てに対して抽選が行われる\n- 標的が同じ部屋から「離脱」すると即座に50%で解除され、次の自身のターンでは行動を行わない※視界からの消滅では無い点に注意\n- 離脱の要因が下記の場合は解除されない(標的の消滅もあわせて参照)\n  - 標的の死亡\n  - 標的の透明化\n  - 標的の竜香効果の解除\n\n\n- 離脱の要因が下記の場合は解除抽選を通常通り行う(標的の消滅もあわせて参照)\n  - 標的の移動\n  - 標的の転送\n  - 標的が視界外に吹き飛ばされた\n  - 標的が視界外に引き寄せられた\n  - 標的が視界外に入れ替えをされた\n\n\n- 主人公が仮眠中のモンスターに隣接すると、主人公が50%の解除抽選を行い、次の自身のターンでは行動を行わない\n- 何かしらの攻撃を受けると、即座に解除され、次の自身のターンで行動を行う			
〇	2	sleep	睡眠	snooze,semisnooze,paralyze,frog_baloon			○	○			○	眠	○	○		{0}は眠ってしまった！	{0}は目が覚めた！	HitSleep		### 共通\n- この状態異常にかかっている間、あらゆる行動が出来なくなる(ターンが回ってこない)\n- 行動が出来なくてもソウルは保持するため、睡眠中に攻撃を受けた際にカウンターが発動する事がありえる\n- 効果ターン数は短めに設定されている事が多い			
〇	3	bind	拘束	snooze,semisnooze,paralyze			○	○			○	拘		○		{0}は移動が出来なくなってしまった！	{0}は動けるようになった！	HitBind		### 主人公・モンスター\n- この状態異常にかかっている間、移動が出来なくなる\n- 主人公の場合は、Bダッシュや階段オート移動も同様に行えなくなる\n- 通常攻撃やアイテム使用、スキル使用には制限はかからない(移動系スキルであっても発動可能)\n- 移動系スキルを受けるか、移動系スキルの使用によって解除される(ふきとばし、ステップバック、入れ替え、吸い寄せ、転送)\n  - 実際にキャラの位置に変化が無かったとしても、この効果を受けた時点で解除される\n  - 耐性によって無効化された場合は、効果を受けたとして判定されない\n\n\n- 多くのボスは耐性を持つ\n- ターン数が長めに設定されている事が多い\n- 鞭との相性が優遇される予定\n\n\n### オブジェ\n- この状態異常にかかる事は無い\n- もし、何らかの原因でこの状態異常にかかる事があった場合は無効化される(想定外の状態異常を参照)			
〇	4	paralyze	かなしばり	snooze,semisnooze,sleep,confuse,hallucinate,berserk,frog_baloon			○	○			○	縛	○	○		{0}は身動きがとれなくなってしまった！	{0}は動けるようになった！	HitParalyze		### 主人公・モンスター\n- この状態異常にかかっている間、あらゆる行動が出来なくなる(ターンが回ってこない)\n- 攻撃スキルまたは回復スキルを受けると解除されてしまう(何をもって攻撃行動とするかは、スキル効果ごとに設定される)\n  - ただし、一部のスキル効果はかなしばり解除判定の対象とならない(入れ替え、吸い寄せ、転送、毒、猛毒、石化、ドレインなど)\n    - これはダメージを伴わないために攻撃行為として判定されない事を意味する\n    - 毒系が解除対象とならないのは、スキル相性に考慮してのこと\n  - かなしばり状態中に石化やドレインを受け続ける危険性がある\n\n\n- かなしばり状態に対して上書き属性を持つ状態異常が多い\n  - モンスターのバフスキルやHP回復スキルでも解除される\n\n\n- 効果ターン数は長めに設定されている事が多い\n- 多くのボスは耐性を持つ\n\n\n### オブジェ\n- この状態異常にかかる事は無い\n- もし、何らかの原因でこの状態異常にかかる事があった場合は無効化される(想定外の状態異常を参照)			
〇	5	confuse	混乱	snooze,semisnooze,paralyze,hallucinate,berserk,frog_baloon			○	○				混		○		{0}は混乱してしまった！	{0}は落ち着きを取り戻した！	HitConfuse		### 主人公\n- この状態異常にかかっている間、移動と通常攻撃の方向がランダムになってしまう\n\n- Ａボタンによる通常攻撃方向がランダムになる\n  - 8方向のどの方向に攻撃を行うかがランダムになる\n\n\n- 移動を試みた場合、移動出来るマスに対してランダムで移動する\n  - 移動出来るマスが無い場合は、何も起こらない(ターンも消費しない)\n\n\n- 自動向き直りが無効化される\n　あらゆる自動向き直りが発生しなくなる(前ターンの行動に対して正面を向いたままとなる)\n\n\n- Ｂダッシュの挙動が変化する\n  - Lスティック単体または方向キー単体を押した時と同じ挙動になるが、処理は高速化される\n  -必ず１歩移動となる\n\n\n- Rボタンによる斜め移動モードが機能しなくなる\n  - Rボタンを伴った移動であっても、Ｌスティック単体または方向キー単体を押した時と同じ挙動になる\n\n\n- 階段オート移動が出来なくなる\n  - ダイアログ「混乱中は階段へのオート移動は出来ません」\n\n\n- 待機、方向転換、アイテム(サクリ)使用、スキル使用、矢攻撃、各種足元メニュー操作には影響を与えない\n\n\n\n### モンスター\n- この状態異常にかかっている間、標的以外にも攻撃する可能性を持ち、行動がランダムになる\n  - ５０％で隣接する主人公、モンスター、オブジェに通常攻撃を行う\n    - どのキャラに攻撃するかはランダム\n\n\n  - ５０％で移動出来るマスに対してランダムで移動を試みる\n  - どちらかの行動が出来なければ、必ずもう一方の行動を選択する\n    - どちらも不可能なら待機する\n\n\n- この状態異常にかかっている間、スキルの使用確率が0%になる\n  - ソウルは保持される\n\n\n### オブジェ\n- 移動できるマスに対して、ランダムで移動をする(攻撃は行わない)\n- 移動できるマスが無い場合は待機する			
〇	6	hallucinate	幻覚	snooze,semisnooze,paralyze,confuse,frog_baloon	berserk		○	○			○	幻		○		{0}は逃げ出しはじめた！	{0}は落ち着きを取り戻した！	HitHalluc		### 主人公\n- この状態異常にかかっている間、あらゆる操作が出来なくなる\n\n- 行動はＡＩに支配され、状態異常が解けるまで自動操作となる\n  - 挙動はモンスターの「逃げＡＩ」と同じとなる(敵から遠ざかるようにドアを目指し、通路では出来るだけ前進する)\n\n\n- 幻覚中は非ブレイブ状態とみなされる(あらゆる行動がブレイブアクションと看做されない)\n  - 竜神結界のグラフィックも展開されない\n\n\n- 幻覚中であっても罠、特殊床の発動抽選は普段と同様に行われる(落とし穴に落ちてフロア移動が行われる事も在り得る)\n- 幻覚中はアイテムの上を通っても取得しない\n- 幻覚中は階段の上を通っても、階段メニューがオープンしない(フロアを進むことも無い)\n- 操作が出来なくてもソウルは保持するため、幻覚中に攻撃を受けた際にカウンターが発動する事がありえる\n\n\n\n### モンスター\n- この状態異常にかかっている間、ＡＩが強制的に逃げＡＩとして上書きされる(標的から遠ざかるようにドアを目指し、通路では出来るだけ前進する)\n  - この状態では一切攻撃して来ない\n\n\n- スキルの使用率が0%になる\n- 幻覚中であっても罠、特殊床の発動抽選は普段と同様に行われる\n- 封印状態とは違い、ソウルは保持するため、幻覚中に攻撃を受けた際にカウンターが発動する事がありえる\n\n\n### オブジェ\n- この状態異常にかかる事は無い\n- もし、何らかの原因でこの状態異常にかかる事があった場合は無効化される(想定外の状態異常を参照)			
〇	7	berserk	狂暴化	snooze,semisnooze,paralyze,confuse,frog_baloon	hallucinate		○	○			○	狂		○		{0}は狂暴化してしまった！	{0}の怒りは収まった！	HitBerserk		### 主人公\n- この状態異常の間、あらゆる操作入力が不可能となり、自動で行動をしてしまう\n- 視界内にモンスターが居ない場合は、モンスターの徘徊AIと同じロジックでダンジョンを徘徊する\n- 視界内かつ最も距離が近いモンスターに対して、通常攻撃を試みる(オブジェは除く)\n  - 同じ距離に2キャラ以上が存在する場合はランダムで対象を選択する\n\n\n- ソウル効果は全て保持する\n\n\n### モンスター\n- 主人公を含む、全てのモンスター(岩除く)を敵として認識する\n- 視界内かつ最も距離が近い対象を敵と見做し、攻撃行動を開始する\n  - 同じ距離に2キャラ以上が存在する場合はランダムで対象を選択するが、主人公の優先度は最も低い\n\n\n- 数値が設定され、その値以内に主人公がいる時のみ、狂戦士AIを参照して行動するようになる\n- 狂戦士中のモンスターの行動は必ずログが発行される\n- この状態異常の間、スキルの使用率が0%になる\n\n\n### オブジェ\n- この状態異常にかかる事は無い\n- もし、何らかの原因でこの状態異常にかかる事があった場合は無効化される(想定外の状態異常を参照)			
〇	8	attack_up	剛力		attack_down	○		○			○	剛		○		{0}は力が溢れてきた！	{0}は元にもどった！	HitAttackUp		- 詳細はダメージ計算式を参照\n\n### 主人公\n- 通常攻撃とスキル、矢攻撃時の与ダメージ計算に補正がかかる(ダメージが1.5倍になる)\n- アイテムの効果によるダメージには補正はかからない\n\n\n### モンスター\n- 通常攻撃とスキルの与ダメージ計算時に補正がかかる(2倍になる)\n\n\n###オブジェ\n- スキル、ソウルの効果が強化される\n- スキル、ソウルの効果について、剛力時のデータを参照する\n  - 設定が無い場合は、元のスキルを参照する			
〇	9	attack_down	衰弱		attack_up		○	○			○	衰		○		{0}は力が抜けてしまった！	{0}は元にもどった！	HitAttackDown		- 詳細はダメージ計算式を参照\n\n#### 主人公\n- この状態異常にかかる事は無い\n- もし、何らかの原因でこの状態異常にかかる事があった場合は無効化される(想定外の状態異常を参照) \n\n\n### モンスター\n- 通常攻撃とスキルの与ダメージ計算時に補正がかかる(半分になる)\n\n\n### オブジェ\n- スキル、ソウルの効果が弱体化される\n- スキル、ソウルの効果について、衰弱時のデータを参照する\n  - 設定が無い場合は、元のスキルを参照する			
〇	10	defense_up	強靭			○		○			○	強		○		{0}は魔法の障壁に守られた！	{0}は元にもどった！	HitDefenseUp		- 詳細はダメージ計算式を参照\n\n### 主人公・モンスター・オブジェ\n被ダメージが半分になる			
	11	unuse	##未使用																				
〇	12	invincible	無敵	sleep,bind,paralyze,confuse,attack_down,defense_down,poison,venom,seal,slow		○		○			○	無		○		{0}は無敵になった！	{0}は元にもどった！	HitInvincible		### 主人公・モンスター\n- この状態異常の間、完全無敵になる\n- この状態異常の間、悪い効果のスキルに対する耐性を持っている\n  - ダメージが発生するスキル効果(攻撃や爆発など)\n  - 悪い状態異常付与\n  - 悪い効果を及ぼすスキル効果\n\n\n- ダメージを０にしているのではなく、攻撃自体を無効化しているため、カウンターは発動しない\n- 移動系スキルは防げない(一概に悪い効果とは言えないため)\n- ダメージと悪い状態異常を防ぐものと思って良い\n\n\n### オブジェ\n- この状態異常にかかる事は無い\n- もし、何らかの原因でこの状態異常にかかる事があった場合は無効化される(想定外の状態異常を参照)			
〇	13	hate	竜香				○	○	○		○	香		○		{0}にモンスターたちは注目している！	{0}は元にもどった！	HitHate		### 主人公\n- この状態異常にかかる事は無い\n- もし、何らかの原因でこの状態異常にかかる事があった場合は無効化される(想定外の状態異常を参照)\n\n\n### モンスター、オブジェ\n- この状態異常の間、そのモンスターは他のモンスターにとって標的とみなされる\n  - オブジェは竜香状態のモンスターを標的とみなさない\n  - 逃げＡＩのモンスターは標的から逃げるため、竜香状態のモンスターから逃げる行動を取るようになる\n  - 複数の竜香状態のモンスターが視界に入っている場合は、距離が近い方を標的とみなす\n\n\n- 主人公を標的とみなさなくなるわけでは無い\n  - 主人公と竜香状態のモンスターの両方が視界に入っている場合、竜香状態のモンスターを標的とみなす\n  - 主人公のみが視界に入っている場合、主人公を標的とみなす\n\n\n- この状態異常にかかっているモンスター自体には影響は無い\n  - 自分自身を標的には出来ないため、他に竜香状態のモンスターが視界内にいなければ、通常どおり主人公を標的とみなす			
〇	14	poison	毒		regenerate		○	○			○	毒		○		{0}は毒に侵された！	{0}は元にもどった！	HitPoison		### 主人公\n- この状態異常の間、自然治癒が行われなくなる\n- この状態異常の間、世界標準ターンで毎ターン最大HPの1%が失われていく\n  - ただし、最低ダメージは1とする\n  - 小数点以下も計算されるように\n  - 竜時枯渇によるスリップダメージも併発する\n\n\n- 自然治癒を強化するソウル、状態異常を実質的に無効化する(上書きが行われる訳ではない)\n\n\n### モンスター\n- この状態異常の間、世界標準ターンで毎ターン最大HPの3%が失われていく\n  - ただし、最低ダメージは1とする\n  - 小数点以下も計算されるように\n\n\n### オブジェ\n- この状態異常にかかる事は無い\n- もし、何らかの原因でこの状態異常にかかる事があった場合は無効化される(想定外の状態異常を参照)			
〇	15	venom	猛毒	poison	regenerate		○	○			○	蠱		○		{0}は猛毒に侵された！	{0}は元にもどった！	HitVenom		### 主人公\n- この状態異常の間、自然治癒が行われなくなる\n- この状態異常の間、世界標準ターンで毎ターン最大HPの2%が失われていく\n  - ただし、最低ダメージは1とする\n  - 小数点以下も計算されるように\n  - 竜時枯渇によるスリップダメージも併発する\n\n\n- 自然治癒を強化するソウル、状態異常を実質的に無効化する(上書きが行われる訳ではない)\n\n\n### モンスター\n- この状態異常の間、世界標準ターンで毎ターン最大HPの5%が失われていく\n  - ただし、最低ダメージは1とする\n  - 小数点以下も計算されるように\n\n\n### オブジェ\n- この状態異常にかかる事は無い\n- もし、何らかの原因でこの状態異常にかかる事があった場合は無効化される(想定外の状態異常を参照)			
〇	16	seal	封印	transparent			○	○				封		○		{0}は特技を封じられてしまった！	{0}は元にもどった！	HitSeal		### 主人公\n- この状態異常の間、ＵＩにも変化が起きる(スキル使用可能マークが出現しない等9\n- 竜人結界は展開され、ブレイブも通常時と同じルールで増減する\n- この状態異常の間、ファングスキルの使用が出来なくなる\n  - アイテム、矢、サクリは使用可能\n  - 使用しようとすると、使えない旨が告知される(ターンは消費しない)\n  - スキルチャージは行われる\n\n\n- この状態異常の間、ファングソウルが全て無効化される\n  - ブレイブアタッカーは出現しない(封印状態になると消滅する)\n  - 装備ソウルは保持される\n\n\n- サクリに由来するソウルは発動する\n  - 復活等が該当する\n\n\n### モンスター\n- この状態異常の間、モンスタースキルの使用率が0％になる\n- スキル使用サイクルのターン毎の減算も行われなくなる(旧silent2)\n- この状態異常の間、モンスターソウルが全て無効化される\n  - 思考ルーチン、移動タイプ、視界タイプは保持する\n    - つまり、ランダム移動や壁抜けは保持される\n\n\n- この状態異常の間に、思考ルーチンが変更されるソウルのトリガーが引かれた場合、そのソウルは一切の効力を失う\n  - 例：ＨＰが50％を切ると行動しなくなるソウルを持っていた場合、封印中にHP50%を切った場合、そのソウルは消滅する\n  - 進化・退化が行われると、無効化された思考ルーチン変更トリガーはリセットされる\n\n\n### オブジェ\n- この状態異常の間、オブジェのスキル使用確率が0％になる\n- 残りターン数の減算は行われない(つまり、解除効果を受けない限り、ただの岩と化す)\n- スキル使用サイクルのターン毎の減算も行われなくなる(旧silent2)\n- この状態異常の間、モンスターソウルが全て無効化される\n  - 死亡時発動ソウル等も無効化される			
	17	unuse	##未使用													##未使用	##未使用						
	18	unuse	##未使用													##未使用	##未使用						
〇	19	haste	倍速		slow	○		○				倍		○	○	{0}の行動が素早くなった！	{0}の速度が元にもどった！	HitSpeedUp		### 主人公・モンスター\n- この状態異常の間、通常の倍の速度で行動する事が出来る\n- この状態異常の間、通常モーションの速度が速くなる\n  - 倍速と競合する事はない\n  - アニメーションの停止と同時に発生する場合は、アニメーションの停止が優先される\n\n\n### オブジェ\n- この状態異常の間、スキル使用までのカウント速度が2倍になる			
〇	20	bravery	勇敢			○		○		○	○	勇		○		{0}は竜人結界を維持出来るようになった！	{0}は元にもどった！						
〇	21	slow	鈍足		haste		○	○				鈍		○	○	{0}の行動が遅くなった！	{0}の速度が元にもどった！	HitSlow		### 主人公・モンスター\n- この状態異常の間、行動速度が通常の半分になる\n- この状態異常の間、通常モーションの速度がゆっくりになる\n  - 倍速と競合する事はない\n  - アニメーションの停止と同時に発生する場合は、アニメーションの停止が優先される\n\n\n### オブジェ\n- この状態異常の間、スキル使用までのカウント速度が半分になる			
〇	22	fang100	確定牙化						○		○	牙		○	○	<color=#ff0000>チャンス！</color><color=#ffff00>{0}</color>はファングを必ず落とすぞ！		HitFangGet		確定牙化の説明			
〇	23	view_trap	目薬状態							○	○	目				{0}は見えないものが見えるようになった！				### 主人公\n- この状態異常は解除される事がない\n- この状態異常の間、フロアの罠が見えている状態になる(見えている罠参照)\n  - 黒マスの罠はミニマップには表示されない\n\n\n- この状態異常の間、擬態しているモンスターを見破れる\n  - 対象は透明、アイテム擬態、モンスター擬態\n\n\n### モンスター・オブジェ\n- この状態異常にかかる事は無い\n- もし、何らかの原因でこの状態異常にかかる事があった場合は無効化される(想定外の状態異常を参照)			
〇	24	view_all	千里眼							○	○	千				{0}はフロアの状態を見通した！				### 主人公\n- この状態異常は解除される事がない\n- この状態異常の間、フロアのマスがすべて白マスになる\n  - モンスター、アイテムはミニマップに表示される\n  - 罠は視認できない\n  - 擬態しているモンスターは見破れない\n\n\n- 視界が広がるわけではない(視界の項を参照)\n\n\n### モンスター・オブジェ\n- この状態異常にかかる事は無い\n- もし、何らかの原因でこの状態異常にかかる事があった場合は無効化される(想定外の状態異常を参照)			
〇	25	view_mimic	擬態看破							○	○	視				{0}はモンスターの擬態を見破れるようになった！							
	26	unuse	##未使用													##未使用	##未使用						
	27	unuse	##未使用													##未使用	##未使用						
	28	unuse	##未使用													##未使用	##未使用						
	29	unuse	##未使用													##未使用	##未使用						
	30	unuse	##未使用													##未使用	##未使用						
〇	31	no_time	竜の時枯渇							○	○	枯		○		{0}は竜の時がなくなると元気が出ない！				### 主人公\n- この状態異常の間、自然治癒が行われなくなる\n- この状態異常の間、世界標準ターンで毎ターンHPが1ずつ失われていく\n  - 小数点以下も計算されるように\n  - 毒、猛毒によるスリップダメージも併発する\n\n\n- 自然治癒を強化するソウル、状態異常を実質的に無効化する(上書きが行われる訳ではない)\n\n### モンスター・オブジェ\n- この状態異常にかかる事は無い\n- もし、何らかの原因でこの状態異常にかかる事があった場合は無効化される(想定外の状態異常を参照)			
	32	unuse	##未使用													##未使用	##未使用						
〇	33	transparent	透明			○		○			○	透			○	{0}は姿が見えなくなった！	{0}は元にもどった！	HitTransparent		### 主人公\n- モンスターは視界内であっても、透明状態のキャラを無視する\n- 視界内の標的がその場で透明になった場合(標的が移動以外の要因で視界から消滅した場合の処理参照※標的の消滅)は、その時点で向いている方向を参照して次の行動を決定する\n- ほとんどのモンスターは正面のドアまたは通路を進もうとするはず\n- モンスターは経路選択に透明状態のキャラの位置を判断に入れなくなる\n- 見えないキャラに通行を邪魔された場合は、その場で待機し、次のターンに再度移動を試みる\n  - 5ターン移動に失敗した場合、後ろを向いて、移動目標を再抽選する\n\n\n### モンスター\n- この状態異常の間、主人公は透明のモンスターを視認できない\n  - ただし、擬態見破り状態の主人公はこれを無効化する\n\n\n- モンスターは視界内であっても、透明状態のキャラを無視する\n- 視界内の標的がその場で透明になった場合(標的が移動以外の要因で視界から消滅した場合の処理参照※標的の消滅)は、その時点で向いている方向を参照して次の行動を決定する\n- ほとんどのモンスターは正面のドアまたは通路を進もうとするはず\n- モンスターは経路選択に透明状態のキャラの位置を判断に入れなくなる\n- 見えないキャラに通行を邪魔された場合は、その場で待機し、次のターンに再度移動を試みる\n  - 5ターン移動に失敗した場合、後ろを向いて、移動目標を再抽選する\n\n\n### オブジェ\n- この状態異常にかかる事は無い\n- もし、何らかの原因でこの状態異常にかかる事があった場合は無効化される(想定外の状態異常を参照)			
〇	34	semisnooze	半仮眠				○		○		○	仮	○	○						### 概要\n仮眠とほぼ同じ（便宜上の存在）			
〇	35	regenerate	再生		poison,venom	○		○			○	再		○		{0}は再生をはじめた！もこもこもこ……。	{0}は元にもどった！			### 主人公・モンスター\n- 毎ターンの自然回復量の基本値が最大HPの 50/1000 となる\n- 自然回復量を増幅するソウルは重複する\n\n\n### オブジェ\n- この状態異常にかかる事は無い\n- もし、何らかの原因でこの状態異常にかかる事があった場合は無効化される(想定外の状態異常を参照)			
〇	36	cooldown	スキルクールダウン					○				填		○						- 一部のモンスターがスキルを連打しないために存在する便宜上の状態異常\n- まがまがオベリスク等のクールタイムに関しては、アイコン表示がされる			
〇	37	frog_baloon	プクプク	snooze,sleep,paralyze,confuse,hallucinate,berserk,semisnooze,friend							○	膨				{0}はふくらんでしまった！	{0}は元にもどった！			### モンスター\n- カエル系のモンスターのHPが30%を切ると自動でこの状態異常を発症する\n- 行動しなくなる\n\n			
〇	38	hide	かくれんぼ			○		○				隠		○		{0}は箱の中に隠れた！	{0}は元にもどった！	HitHide		### 主人公・モンスター・オブジェ\n- 箱の中に閉じ込めた状態になる\n  - この状態で、なんらかの方法で上に乗ることで「生あたたかい箱」を確認する事が出来る\n- ボス、主人公は最大10ターン経過で、元に戻る			
〇	39	charge	溜め									溜				{0}は力をためている！	{0}は元にもどった！	HitHide		### 主人公・モンスター・オブジェ\n- スキル使用前の溜め状態\n- 一度溜め状態になったら、スキルを使用するまで方向転換は行わない\n- 現状ロゼには無い状態で、リンドブルムの溜めスキルで確認可能			
〇	40	friend	ともだち	hallucinate,berserk,frog_baloon		○		○	○		○	友		○	○	{0}はともだち！	{0}は元にもどった！	HitFriend		### モンスター\n- モンスターが仲間になった状態\n- 自然治癒が発生するようになる\n- ロゼに追従するようになり、近くのモンスターを攻撃する\n- モンスターの標的になるようになる\n- NPC同様、盤面操作で入れ替えを行う事が出来る\n- この状態のモンスターが他のモンスターを倒しても、主人公に経験値は入らず、進化も発生しない\n- ボスはこの状態になる事は無い\n\n\n### 主人公・オブジェ\n- この状態異常にかかる事は無い\n- もし、何らかの原因でこの状態異常にかかる事があった場合は無効化される(想定外の状態異常を参照)		○	
	41	unuse	##未使用													##未使用	##未使用						
	42	unuse	##未使用													##未使用	##未使用						
	43	unuse	##未使用													##未使用	##未使用						
	44	unuse	##未使用													##未使用	##未使用						
	45	unuse	##未使用													##未使用	##未使用						
	46	unuse	##未使用													##未使用	##未使用						
	47	unuse	##未使用													##未使用	##未使用						
	48	unuse	##未使用													##未使用	##未使用						
	49	unuse	##未使用													##未使用	##未使用						
	50	unuse	##未使用													##未使用	##未使用						
